case	game	suite	category	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
tool-free-assistant-game	frosthaven	table-qa	tool-free	application		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1831	1825	-	3/31/5324	0	0.0500	0.0005	0	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-5eb6-7000-8000-0141e81020f9?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-5eb6-7000-8000-0141e81020f9?poll=true	-
building-mining-camp-level-1	frosthaven	table-qa	buildings	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1700	1697	pass	3/99/5408	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-6aa2-7000-8000-00a3deec5506?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-6aa2-7000-8000-00a3deec5506?poll=true	-
rule-poison	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		16885	10596	-	7/584/19847	5291	0.0500	0.0088	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-759e-7000-8000-0202360a975b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-759e-7000-8000-0202360a975b?poll=true	-
fh-monster-algox-archer-normal-level-2	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1926	1925	-	3/100/5402	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-bea7-7000-8000-03339991d2f1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-bea7-7000-8000-03339991d2f1?poll=true	-
rule-long-rest-init	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8090	5464	-	7/231/21342	5293	0.0500	0.0035	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-c9d6-7000-8000-0253461cb10c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-c9d6-7000-8000-0253461cb10c?poll=true	-
fh-item-006-flexible-slippers	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2003	2001	-	3/101/5400	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-ecc0-7000-8000-022ad96a4352?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-ecc0-7000-8000-022ad96a4352?poll=true	-
fh-scenario-1-a-town-in-flames	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		2271	2270	-	3/95/5407	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-f9d6-7000-8000-01843c062913?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-f9d6-7000-8000-01843c062913?poll=true	-
fh-item-008-crude-spear	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1815	1813	-	3/101/5400	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-0bac-7000-8000-01f33d456f2c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-0bac-7000-8000-01f33d456f2c?poll=true	-
fh-item-012-crude-chain-armor	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2098	2096	-	3/101/5400	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-17d7-7000-8000-02d125940175?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-17d7-7000-8000-02d125940175?poll=true	-
fh-item-003-traveling-cloak	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1846	1844	-	3/101/5400	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-27c4-7000-8000-013a9f9c0fb0?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-27c4-7000-8000-013a9f9c0fb0?poll=true	-
fh-scenario-4b-heart-of-ice-b	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.2	pass		26802	20641	-	10/912/34862	22191	0.0500	0.0137	4	0	5	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-3309-7000-8000-028aedcce167?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-3309-7000-8000-028aedcce167?poll=true	-
scenario-7-edge-world-unlocks	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		2523	2521	fail	3/100/5409	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-a46f-7000-8000-00fdf4b8b0cf?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-a46f-7000-8000-00fdf4b8b0cf?poll=true	-
fh-scenario-3-algox-offensive	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8812	8809	-	6/473/8812	0	0.0500	0.0071	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-b2a6-7000-8000-01dc8852e14a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-b2a6-7000-8000-01dc8852e14a?poll=true	-
rule-long-rest-steps	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		18107	11426	-	7/715/21679	5296	0.0500	0.0107	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-dd18-7000-8000-024e20a388b7?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe8-dd18-7000-8000-024e20a388b7?poll=true	-
fh-item-004-crude-hide-armor	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2069	2067	-	3/101/5400	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe9-29ce-7000-8000-02a76b0b3160?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe9-29ce-7000-8000-02a76b0b3160?poll=true	-
fh-monster-algox-icespeaker-elite-level-7	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1804	1802	-	3/103/5408	0	0.0500	0.0016	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe9-370a-7000-8000-031bbc4345e1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe9-370a-7000-8000-031bbc4345e1?poll=true	-
fh-monster-abael-herder-elite-level-5	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2109	2107	-	3/100/5403	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe9-41d9-7000-8000-03a4da81b17d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe9-41d9-7000-8000-03a4da81b17d?poll=true	-
fh-scenario-4a-heart-of-ice-a	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	provider_error	-	-		-	-	-	-	-	0.0500	-	-	0	-	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe9-4f83-7000-8000-01537f154952?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe9-4f83-7000-8000-01537f154952?poll=true	Recursion limit of 25 reached without hitting a stop condition. You can increase the limit by setting the "recursionLimit" config key.

Troubleshooting URL: https://docs.langchain.com/oss/javascript/langgraph/GRAPH_RECURSION_LIMIT/

fh-personal-quest-581-the-study-of-plants	frosthaven	table-qa	personal-quests	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		10721	10717	-	8/474/20226	10790	0.0500	0.0071	3	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe9-a04e-7000-8000-02c04c267620?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe9-a04e-7000-8000-02c04c267620?poll=true	-
rule-looting-definition	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		27126	14925	-	7/1097/21149	5282	0.0500	0.0165	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe9-cfeb-7000-8000-005661eea7e5?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe9-cfeb-7000-8000-005661eea7e5?poll=true	-
fh-monster-ability-ancient-artillery-long-shot	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		10780	10776	-	11/486/36750	20815	0.0500	0.0073	4	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fea-4109-7000-8000-021249c63af0?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fea-4109-7000-8000-021249c63af0?poll=true	-
rule-wound	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		14866	9273	-	7/554/20823	5291	0.0500	0.0083	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fea-706a-7000-8000-03a62a3d7854?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fea-706a-7000-8000-03a62a3d7854?poll=true	-
fh-scenario-6-avalanche	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		1758	1756	-	3/95/5407	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fea-af2b-7000-8000-015cd4b399de?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fea-af2b-7000-8000-015cd4b399de?poll=true	-
item-spyglass	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1694	1693	-	3/96/5399	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fea-bb6e-7000-8000-0059e768e8dc?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fea-bb6e-7000-8000-0059e768e8dc?poll=true	-
rule-brittle	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		14542	7871	-	7/506/19860	5292	0.0500	0.0076	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fea-c5d5-7000-8000-01d267ef333a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fea-c5d5-7000-8000-01d267ef333a?poll=true	-
fh-monster-algox-guard-elite-level-5	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1723	1721	-	3/99/5400	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2feb-0444-7000-8000-02bc8b3d9cbc?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2feb-0444-7000-8000-02bc8b3d9cbc?poll=true	-
fh-character-mat-blinkblade	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		10890	7965	-	8/371/25054	10812	0.0500	0.0056	2	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2feb-0f1a-7000-8000-009c8281a3ab?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2feb-0f1a-7000-8000-009c8281a3ab?poll=true	-
fh-monster-algox-archer-elite-level-7	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		4035	4033	-	3/100/5402	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2feb-3e2c-7000-8000-03f4553a14e4?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2feb-3e2c-7000-8000-03f4553a14e4?poll=true	-
scenario-61-unlock	frosthaven	table-qa	scenarios	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		19125	19121	-	15/1211/36973	18749	0.0500	0.0182	4	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2feb-51d7-7000-8000-022a127a3a15?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2feb-51d7-7000-8000-022a127a3a15?poll=true	-
drifter-ignore-negative-item-effects-correction	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	safety	1	pass		11841	11838	-	6/160/7886	0	0.0500	0.0024	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2feb-a23d-7000-8000-02d95e3f8939?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2feb-a23d-7000-8000-02d95e3f8939?poll=true	-
fh-character-mat-banner-spear	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		9545	7310	-	8/380/22797	10808	0.0500	0.0057	2	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2feb-d826-7000-8000-00de61b5b3bc?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2feb-d826-7000-8000-00de61b5b3bc?poll=true	-
fh-monster-abael-herder-normal-level-0	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1753	1751	-	3/82/5385	0	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fec-0240-7000-8000-0171351a1ca9?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fec-0240-7000-8000-0171351a1ca9?poll=true	-
fh-monster-algox-icespeaker-normal-level-2	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1788	1786	-	3/84/5389	0	0.0500	0.0013	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fec-1455-7000-8000-03fbd4d15613?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fec-1455-7000-8000-03fbd4d15613?poll=true	-
