case	game	suite	category	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
tool-free-assistant-game	frosthaven	table-qa	tool-free	application		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1725	1723	-	3/31/5472	0	0.0500	0.0005	0	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-8b03-7000-8000-02442fedd067?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-8b03-7000-8000-02442fedd067?poll=true	-
building-mining-camp-level-1	frosthaven	table-qa	buildings	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1895	1893	pass	3/99/5556	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-9796-7000-8000-004e7001c21f?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-9796-7000-8000-004e7001c21f?poll=true	-
rule-poison	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		17362	10786	-	7/606/20362	5439	0.0500	0.0091	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-a307-7000-8000-0241dbf69821?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-a307-7000-8000-0241dbf69821?poll=true	-
fh-monster-algox-archer-normal-level-2	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2125	2124	-	3/100/5550	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-f011-7000-8000-023ba0178c95?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-f011-7000-8000-023ba0178c95?poll=true	-
rule-long-rest-init	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8692	5882	-	7/259/21863	5441	0.0500	0.0039	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-fc09-7000-8000-00e4a93b88eb?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307d-fc09-7000-8000-00e4a93b88eb?poll=true	-
fh-item-006-flexible-slippers	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1998	1996	-	3/101/5548	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-237f-7000-8000-030f6f54bbea?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-237f-7000-8000-030f6f54bbea?poll=true	-
fh-scenario-1-a-town-in-flames	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		1826	1825	-	3/95/5555	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-323f-7000-8000-010fba491fd0?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-323f-7000-8000-010fba491fd0?poll=true	-
fh-item-008-crude-spear	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2805	2803	-	3/101/5548	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-406d-7000-8000-010273fa6fe5?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-406d-7000-8000-010273fa6fe5?poll=true	-
fh-item-012-crude-chain-armor	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1845	1844	-	3/101/5548	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-4fdc-7000-8000-02a9159f4cab?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-4fdc-7000-8000-02a9159f4cab?poll=true	-
fh-item-003-traveling-cloak	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1947	1946	-	3/101/5548	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-5ff2-7000-8000-0075d4ea0f1f?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-5ff2-7000-8000-0075d4ea0f1f?poll=true	-
fh-scenario-4b-heart-of-ice-b	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	groundedness	0.2	fail	no source labels or canonical refs were recorded by successful tool calls	22975	17325	-	9/699/25704	16870	0.0500	0.0105	3	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-6be9-7000-8000-03e9b15e7eb5?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-6be9-7000-8000-03e9b15e7eb5?poll=true	-
scenario-7-edge-world-unlocks	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2434	2433	pass	3/100/5557	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-cbf7-7000-8000-004a947eb8ca?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-cbf7-7000-8000-004a947eb8ca?poll=true	-
fh-scenario-3-algox-offensive	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		10972	10958	-	6/535/9219	0	0.0500	0.0080	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-da55-7000-8000-03c2693c7cb8?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307e-da55-7000-8000-03c2693c7cb8?poll=true	-
rule-long-rest-steps	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		19551	10879	-	7/703/22160	5444	0.0500	0.0105	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307f-1388-7000-8000-022dba919902?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307f-1388-7000-8000-022dba919902?poll=true	-
fh-item-004-crude-hide-armor	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1964	1962	-	3/101/5548	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307f-666e-7000-8000-014ecd428b48?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307f-666e-7000-8000-014ecd428b48?poll=true	-
fh-monster-algox-icespeaker-elite-level-7	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2224	2222	-	3/103/5556	0	0.0500	0.0016	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307f-7258-7000-8000-02ae48e0d4cf?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307f-7258-7000-8000-02ae48e0d4cf?poll=true	-
fh-monster-abael-herder-elite-level-5	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2073	2071	-	3/101/5552	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307f-9168-7000-8000-03e166e77f64?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307f-9168-7000-8000-03e166e77f64?poll=true	-
fh-scenario-4a-heart-of-ice-a	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	groundedness	0.2	fail	no source labels or canonical refs were recorded by successful tool calls	14961	10488	-	9/619/25624	16870	0.0500	0.0093	3	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307f-9df2-7000-8000-01ed1d8fcd17?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307f-9df2-7000-8000-01ed1d8fcd17?poll=true	-
fh-personal-quest-581-the-study-of-plants	frosthaven	table-qa	personal-quests	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		10964	10961	-	8/460/20853	11086	0.0500	0.0069	3	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307f-e083-7000-8000-01697eef51d8?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f307f-e083-7000-8000-01697eef51d8?poll=true	-
rule-looting-definition	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		29436	16138	-	7/1103/21648	5430	0.0500	0.0165	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3080-1202-7000-8000-035da246817f?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3080-1202-7000-8000-035da246817f?poll=true	-
fh-monster-ability-ancient-artillery-long-shot	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		11268	11265	-	11/521/37619	21266	0.0500	0.0078	4	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3080-8c16-7000-8000-034a8ce69ed1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3080-8c16-7000-8000-034a8ce69ed1?poll=true	-
rule-wound	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		15985	9923	-	7/591/21353	5439	0.0500	0.0089	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3080-bd8e-7000-8000-03b5d7c5c583?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3080-bd8e-7000-8000-03b5d7c5c583?poll=true	-
fh-scenario-6-avalanche	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		2293	2291	-	3/95/5555	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-02b9-7000-8000-029dde21aa94?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-02b9-7000-8000-029dde21aa94?poll=true	-
item-spyglass	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2375	2374	-	3/96/5547	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-13f2-7000-8000-0028925d876f?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-13f2-7000-8000-0028925d876f?poll=true	-
rule-brittle	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		15146	9553	-	7/558/20405	5440	0.0500	0.0084	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-224b-7000-8000-0086b3ddbff1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-224b-7000-8000-0086b3ddbff1?poll=true	-
fh-monster-algox-guard-elite-level-5	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2034	2033	-	3/99/5548	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-62ab-7000-8000-039e9ac43aea?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-62ab-7000-8000-039e9ac43aea?poll=true	-
fh-character-mat-blinkblade	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		11143	8555	-	8/389/25713	11108	0.0500	0.0058	2	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-6fef-7000-8000-03805457fe9c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-6fef-7000-8000-03805457fe9c?poll=true	-
fh-monster-algox-archer-elite-level-7	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1891	1891	-	3/81/5531	0	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-a000-7000-8000-001da6a6bebe?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-a000-7000-8000-001da6a6bebe?poll=true	-
scenario-61-unlock	frosthaven	table-qa	scenarios	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		23898	23894	-	15/1210/37797	19205	0.0500	0.0182	4	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-acbc-7000-8000-022bcecc3f35?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3081-acbc-7000-8000-022bcecc3f35?poll=true	-
drifter-ignore-negative-item-effects-correction	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		3998	3996	-	6/164/8235	0	0.0500	0.0025	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3082-1127-7000-8000-01e51d006877?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3082-1127-7000-8000-01e51d006877?poll=true	-
fh-character-mat-banner-spear	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		16853	12491	-	11/765/47193	31735	0.0500	0.0115	5	0	6	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3082-25e2-7000-8000-020b2fb4e02d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3082-25e2-7000-8000-020b2fb4e02d?poll=true	-
fh-monster-abael-herder-normal-level-0	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1815	1814	-	3/82/5533	0	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3082-6dac-7000-8000-032cbf03797a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3082-6dac-7000-8000-032cbf03797a?poll=true	-
fh-monster-algox-icespeaker-normal-level-2	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2290	2289	-	3/103/5556	0	0.0500	0.0016	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3082-7856-7000-8000-030559533ce7?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3082-7856-7000-8000-030559533ce7?poll=true	-
monster-flame-demon-elite	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2167	2166	-	3/99/5550	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3082-88cb-7000-8000-0188ac4cbc3e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3082-88cb-7000-8000-0188ac4cbc3e?poll=true	-
fh-monster-ability-algox-snowspeaker-trap-solo-blinding-vortex	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8721	5999	-	7/369/18179	5461	0.0500	0.0055	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3082-952d-7000-8000-00f1be504ff4?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/687a4969-1170-48bf-be95-1300aff9625c/r/019f3082-952d-7000-8000-00f1be504ff4?poll=true	-
