case	game	suite	category	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-character-ability-blinkblade-blurry-jab	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		7423	7418	-	7/322/14795	5458	0.0500	0.0048	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b2-a106-7000-8000-01e846f89f32?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b2-a106-7000-8000-01e846f89f32?poll=true	-
fh-character-ability-astral-boon-of-the-tempest	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	0.8	pass		6885	6882	-	7/301/14745	5457	0.0500	0.0045	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b2-c447-7000-8000-00da777cd811?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b2-c447-7000-8000-00da777cd811?poll=true	-
rule-small-items	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		14347	9944	-	7/621/17064	5442	0.0500	0.0093	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b2-e59b-7000-8000-0042ecdf2892?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b2-e59b-7000-8000-0042ecdf2892?poll=true	-
scenario-7-edge-world-unlocks	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1777	1775	pass	3/100/5557	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-23cd-7000-8000-020208ddb5fa?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-23cd-7000-8000-020208ddb5fa?poll=true	-
fh-personal-quest-582-searching-for-the-oak	frosthaven	table-qa	personal-quests	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		11941	11940	-	8/442/20851	11089	0.0500	0.0066	3	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-2f2f-7000-8000-01f27bdbffb1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-2f2f-7000-8000-01f27bdbffb1?poll=true	-
rule-wound	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		15452	9066	-	7/590/21352	5439	0.0500	0.0089	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-63bd-7000-8000-01dac0679ef8?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-63bd-7000-8000-01dac0679ef8?poll=true	-
fh-item-002-crude-helmet	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2205	2204	-	3/100/5546	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-a79d-7000-8000-026ebb50cc47?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-a79d-7000-8000-026ebb50cc47?poll=true	-
fh-monster-abael-warlord-normal-level-5	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1765	1763	-	3/102/5554	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-b4cd-7000-8000-0267ccb1f584?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-b4cd-7000-8000-0267ccb1f584?poll=true	-
fh-scenario-3-algox-offensive	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		9881	9879	-	6/521/9205	0	0.0500	0.0078	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-c023-7000-8000-03669bf11ff0?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-c023-7000-8000-03669bf11ff0?poll=true	-
fh-monster-abael-herder-elite-level-5	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1894	1893	-	3/82/5533	0	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-ef8d-7000-8000-00939c31721a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-ef8d-7000-8000-00939c31721a?poll=true	-
fh-scenario-2-algox-scouting	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		10112	10109	-	6/467/9093	0	0.0500	0.0070	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-fc25-7000-8000-021b44c60be2?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b3-fc25-7000-8000-021b44c60be2?poll=true	-
building-mining-camp-level-1	frosthaven	table-qa	buildings	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2059	2055	pass	3/99/5556	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b4-299b-7000-8000-00112b579245?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b4-299b-7000-8000-00112b579245?poll=true	-
scenario-61-unlock	frosthaven	table-qa	scenarios	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		21862	21858	-	15/1210/37766	19201	0.0500	0.0182	4	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b4-35cc-7000-8000-02699866050d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b4-35cc-7000-8000-02699866050d?poll=true	-
fh-character-ability-boneshaper-life-in-death	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		6933	6930	-	7/310/14723	5453	0.0500	0.0047	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b4-9403-7000-8000-03c8f4614f67?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b4-9403-7000-8000-03c8f4614f67?poll=true	-
item-spyglass	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2065	2064	-	3/96/5547	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b4-b493-7000-8000-013850c9b4b4?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b4-b493-7000-8000-013850c9b4b4?poll=true	-
fh-character-mat-coral	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		16534	12262	-	11/669/46690	31540	0.0500	0.0100	5	0	6	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b4-c1b9-7000-8000-02dada538558?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b4-c1b9-7000-8000-02dada538558?poll=true	-
fh-character-ability-coral-overwhelming-wave	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		7404	7401	-	7/306/14659	5451	0.0500	0.0046	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-0732-7000-8000-030ded08db48?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-0732-7000-8000-030ded08db48?poll=true	-
fh-item-004-crude-hide-armor	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2211	2210	-	3/101/5548	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-2c11-7000-8000-01da4e09ac41?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-2c11-7000-8000-01da4e09ac41?poll=true	-
item-crude-boots	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1811	1810	-	3/96/5540	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-396a-7000-8000-03454c8a49bf?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-396a-7000-8000-03454c8a49bf?poll=true	-
building-alchemist	frosthaven	table-qa	buildings	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		8949	8945	-	7/338/14161	5448	0.0500	0.0051	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-46ca-7000-8000-0254452dab18?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-46ca-7000-8000-0254452dab18?poll=true	-
fh-monster-abael-scout-elite-level-7	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1776	1775	-	3/80/5529	0	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-6f98-7000-8000-0140e0bfccc7?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-6f98-7000-8000-0140e0bfccc7?poll=true	-
fh-monster-algox-icespeaker-elite-level-7	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1968	1966	-	3/103/5556	0	0.0500	0.0016	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-7ad0-7000-8000-0328a3a6b9ce?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-7ad0-7000-8000-0328a3a6b9ce?poll=true	-
fh-item-003-traveling-cloak	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1802	1800	-	3/101/5548	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-87fe-7000-8000-031416c3fbde?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-87fe-7000-8000-031416c3fbde?poll=true	-
fh-item-012-crude-chain-armor	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1990	1989	-	3/101/5548	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-92ff-7000-8000-03b72f438dea?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-92ff-7000-8000-03b72f438dea?poll=true	-
fh-item-010-crude-shield	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1828	1826	-	3/99/5544	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-a0ca-7000-8000-0060558c8ede?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-a0ca-7000-8000-0060558c8ede?poll=true	-
fh-personal-quest-581-the-study-of-plants	frosthaven	table-qa	personal-quests	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		9809	9805	-	8/449/20842	11086	0.0500	0.0067	3	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-ad43-7000-8000-006c01f7f0b2?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-ad43-7000-8000-006c01f7f0b2?poll=true	-
rule-brittle	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		14380	8767	-	7/528/20375	5440	0.0500	0.0079	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-d932-7000-8000-031ef5179ee1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b5-d932-7000-8000-031ef5179ee1?poll=true	-
fh-monster-ability-algox-snowspeaker-blinding-vortex	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		7486	4835	-	7/325/18114	5458	0.0500	0.0049	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b6-18de-7000-8000-006e5edd07e6?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b6-18de-7000-8000-006e5edd07e6?poll=true	-
fh-item-008-crude-spear	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1890	1888	-	3/101/5548	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b6-3b62-7000-8000-00f69dbb47ac?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b6-3b62-7000-8000-00f69dbb47ac?poll=true	-
fh-item-006-flexible-slippers	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1911	1909	-	3/101/5548	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b6-483f-7000-8000-00beb5decd5c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b6-483f-7000-8000-00beb5decd5c?poll=true	-
fh-battle-goal-acrobat	frosthaven	table-qa	battle-goals	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		4395	4391	-	6/191/7802	0	0.0500	0.0029	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b6-5422-7000-8000-00bbbd2cba48?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b6-5422-7000-8000-00bbbd2cba48?poll=true	-
fh-character-mat-astral	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		17084	14051	-	13/716/47212	31129	0.0500	0.0107	5	0	6	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b6-6a64-7000-8000-01924802e937?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b6-6a64-7000-8000-01924802e937?poll=true	-
fh-monster-abael-herder-normal-level-0	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1760	1758	-	3/82/5533	0	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b6-b400-7000-8000-00236a7c339b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/50ad62f9-d555-4c8d-a15d-4cd8b1b78b96/r/019f32b6-b400-7000-8000-00236a7c339b?poll=true	-
