case	game	suite	category	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-character-ability-blinkblade-blurry-jab	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		7958	7954	-	7/347/14820	14466	0.0500	0.0052	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d2-0cfc-7000-8000-027f1d512b91?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d2-0cfc-7000-8000-027f1d512b91?poll=true	-
fh-character-ability-astral-boon-of-the-tempest	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	0.8	pass		6621	6616	-	7/301/14745	14437	0.0500	0.0045	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d2-310f-7000-8000-00264dfcce08?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d2-310f-7000-8000-00264dfcce08?poll=true	-
rule-small-items	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		14980	8922	-	7/738/17177	10884	0.0500	0.0111	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d2-5322-7000-8000-031e82abd26d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d2-5322-7000-8000-031e82abd26d?poll=true	-
scenario-7-edge-world-unlocks	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1863	1862	pass	3/100/5557	5454	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d2-93e9-7000-8000-03a11d2276ef?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d2-93e9-7000-8000-03a11d2276ef?poll=true	-
fh-personal-quest-582-searching-for-the-oak	frosthaven	table-qa	personal-quests	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		10020	10017	-	8/445/20854	20401	0.0500	0.0067	3	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d2-a3bd-7000-8000-0358d506d268?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d2-a3bd-7000-8000-0358d506d268?poll=true	-
rule-wound	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		14269	8834	-	7/554/21316	20755	0.0500	0.0083	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d2-d17e-7000-8000-02a2f538c86b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d2-d17e-7000-8000-02a2f538c86b?poll=true	-
fh-item-002-crude-helmet	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1767	1765	-	3/100/5546	5443	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-0ff2-7000-8000-03bdcfb1acc8?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-0ff2-7000-8000-03bdcfb1acc8?poll=true	-
fh-monster-abael-warlord-normal-level-5	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1900	1898	-	3/102/5554	5449	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-1d7e-7000-8000-00c799fe3a2e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-1d7e-7000-8000-00c799fe3a2e?poll=true	-
fh-scenario-3-algox-offensive	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		10285	10283	-	6/520/9204	8678	0.0500	0.0078	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-2978-7000-8000-00d1f6b145d6?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-2978-7000-8000-00d1f6b145d6?poll=true	-
fh-monster-abael-herder-elite-level-5	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		7549	7548	-	3/101/5552	5448	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-58b5-7000-8000-01119602356e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-58b5-7000-8000-01119602356e?poll=true	-
fh-scenario-2-algox-scouting	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		9108	9106	-	6/465/9091	8620	0.0500	0.0070	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-7b18-7000-8000-03282ebab009?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-7b18-7000-8000-03282ebab009?poll=true	-
building-mining-camp-level-1	frosthaven	table-qa	buildings	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2194	2192	pass	3/99/5556	5454	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-b6b4-7000-8000-01303d683eae?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-b6b4-7000-8000-01303d683eae?poll=true	-
scenario-61-unlock	frosthaven	table-qa	scenarios	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		22058	22054	-	15/1170/37749	24659	0.0500	0.0176	4	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-c38f-7000-8000-01783a1f3d63?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d3-c38f-7000-8000-01783a1f3d63?poll=true	-
fh-character-ability-boneshaper-life-in-death	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		9294	9290	-	7/314/14727	14406	0.0500	0.0047	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d4-2447-7000-8000-022df041f6d6?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d4-2447-7000-8000-022df041f6d6?poll=true	-
item-spyglass	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1925	1924	-	3/96/5547	5448	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d4-5066-7000-8000-036b9f5f3eaa?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d4-5066-7000-8000-036b9f5f3eaa?poll=true	-
fh-character-mat-coral	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		17279	14616	-	11/703/46879	37715	0.0500	0.0105	5	0	6	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d4-5c64-7000-8000-010eb93e7565?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d4-5c64-7000-8000-010eb93e7565?poll=true	-
fh-character-ability-coral-overwhelming-wave	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	0.8	pass		9135	9130	-	7/302/14655	14346	0.0500	0.0045	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d4-a57d-7000-8000-03b8c0a7bf50?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d4-a57d-7000-8000-03b8c0a7bf50?poll=true	-
fh-item-004-crude-hide-armor	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1912	1910	-	3/101/5548	5444	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d4-ebee-7000-8000-031b2a9e4a1e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d4-ebee-7000-8000-031b2a9e4a1e?poll=true	-
item-crude-boots	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8759	8757	-	3/96/5540	5441	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d4-f8b2-7000-8000-02447785a5dc?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d4-f8b2-7000-8000-02447785a5dc?poll=true	-
building-alchemist	frosthaven	table-qa	buildings	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		6216	6214	-	7/280/14103	13816	0.0500	0.0042	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-2118-7000-8000-03ed691031fc?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-2118-7000-8000-03ed691031fc?poll=true	-
fh-monster-abael-scout-elite-level-7	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1656	1655	-	3/80/5529	5446	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-3d75-7000-8000-0219aa6d0185?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-3d75-7000-8000-0219aa6d0185?poll=true	-
fh-monster-algox-icespeaker-elite-level-7	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1749	1748	-	3/103/5556	5450	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-484a-7000-8000-01da80d2caa8?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-484a-7000-8000-01da80d2caa8?poll=true	-
fh-item-003-traveling-cloak	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1899	1899	-	3/101/5548	5444	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-544a-7000-8000-03fd411b021a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-544a-7000-8000-03fd411b021a?poll=true	-
fh-item-012-crude-chain-armor	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2048	2046	-	3/101/5548	5444	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-6318-7000-8000-02d367c8135f?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-6318-7000-8000-02d367c8135f?poll=true	-
fh-item-010-crude-shield	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2171	2170	-	3/99/5544	5442	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-71e3-7000-8000-038d31321a17?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-71e3-7000-8000-038d31321a17?poll=true	-
fh-personal-quest-581-the-study-of-plants	frosthaven	table-qa	personal-quests	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		12004	12001	-	8/459/20852	20385	0.0500	0.0069	3	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-81e2-7000-8000-024475a236a8?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-81e2-7000-8000-024475a236a8?poll=true	-
rule-brittle	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		17087	10548	-	7/530/20377	19840	0.0500	0.0080	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-b7c8-7000-8000-01fb5088d78c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d5-b7c8-7000-8000-01fb5088d78c?poll=true	-
fh-monster-ability-algox-snowspeaker-blinding-vortex	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8875	5733	-	7/332/18121	17782	0.0500	0.0050	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-03e3-7000-8000-013f60c56ed6?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-03e3-7000-8000-013f60c56ed6?poll=true	-
fh-item-008-crude-spear	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		10014	10013	-	3/101/5548	5444	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-2d86-7000-8000-030c4cbd8907?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-2d86-7000-8000-030c4cbd8907?poll=true	-
fh-item-006-flexible-slippers	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1903	1902	-	3/101/5548	5444	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-5a12-7000-8000-005ae238da65?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-5a12-7000-8000-005ae238da65?poll=true	-
fh-battle-goal-acrobat	frosthaven	table-qa	battle-goals	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		3761	3757	-	6/155/7766	7605	0.0500	0.0023	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-7343-7000-8000-0347b1166581?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-7343-7000-8000-0347b1166581?poll=true	-
fh-character-mat-astral	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		16869	13146	-	13/693/47189	46483	0.0500	0.0104	5	0	6	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-873b-7000-8000-039605b664d7?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-873b-7000-8000-039605b664d7?poll=true	-
fh-monster-abael-herder-normal-level-0	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		4112	4109	-	3/82/5533	5448	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-cfd8-7000-8000-016bc70a78c3?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-cfd8-7000-8000-016bc70a78c3?poll=true	-
fh-item-001-spyglass	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2533	2529	-	3/100/5546	5443	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-ea4a-7000-8000-01d693fe1451?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d6-ea4a-7000-8000-01d693fe1451?poll=true	-
