case	game	suite	category	question_class	lane	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	judge_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-character-ability-astral-boon-of-the-tempest	frosthaven	table-qa	character-abilities	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		1921	1320	-	2400/81/2481	0	0.0500	0.0028	0.0015	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-8033-7000-8000-0391c7b1c50a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-8033-7000-8000-0391c7b1c50a?poll=true	-
fh-character-mat-coral	frosthaven	table-qa	character-mats	exact-lookup	deep	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		9515	6900	-	934/275/8469	6170	0.0500	0.0103	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-8d7e-7000-8000-02837d495105?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-8d7e-7000-8000-02837d495105?poll=true	-
fh-monster-ability-algox-snowspeaker-blinding-vortex	frosthaven	table-qa	monster-abilities	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		2317	1176	-	3000/71/3071	0	0.0500	0.0034	0.0014	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-b8f0-7000-8000-0129a63690b0?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-b8f0-7000-8000-0129a63690b0?poll=true	-
fh-scenario-0-howling-in-the-snow	frosthaven	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2623	1353	-	5525/101/5626	0	0.0500	0.0060	0.0017	4	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-c8d7-7000-8000-00d52b117b51?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-c8d7-7000-8000-00d52b117b51?poll=true	-
fh-personal-quest-582-searching-for-the-oak	frosthaven	table-qa	personal-quests	exact-lookup	deep	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		18292	12218	-	829/678/14297	11402	0.0500	0.0192	0.0019	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-dbad-7000-8000-013473160ceb?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-dbad-7000-8000-013473160ceb?poll=true	-
fh-scenario-2-algox-scouting	frosthaven	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		3241	1445	-	5914/124/6038	0	0.0500	0.0065	0.0021	4	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-2ccd-7000-8000-01fef4342d4c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-2ccd-7000-8000-01fef4342d4c?poll=true	-
fh-monster-abael-scout-elite-level-7	frosthaven	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2034	1099	-	3078/66/3144	0	0.0500	0.0034	0.0013	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-43f6-7000-8000-020c76891858?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-43f6-7000-8000-020c76891858?poll=true	-
fh-monster-ability-algox-icespeaker-warding-swipe	frosthaven	table-qa	monster-abilities	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2047	1119	-	3199/63/3262	0	0.0500	0.0035	0.0013	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-5300-7000-8000-028ab49a160c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-5300-7000-8000-028ab49a160c?poll=true	-
fh-rule-monster-ability-shuffle	frosthaven	table-qa	rulebook	rules-synthesis	fast	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		2019	1204	pass	2134/98/2232	0	0.0500	0.0026	0.0014	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-60b0-7000-8000-00424564a201?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-60b0-7000-8000-00424564a201?poll=true	-
fh-monster-abael-herder-normal-level-0	frosthaven	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1979	1458	-	3640/47/3687	0	0.0500	0.0039	0.0014	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-6ec3-7000-8000-008b31e79bff?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-6ec3-7000-8000-008b31e79bff?poll=true	-
fh-rule-invisible-focus	frosthaven	table-qa	rulebook	rules-synthesis	fast	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		2344	1288	pass	2056/77/2133	0	0.0500	0.0024	0.0013	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-7c1d-7000-8000-0233a7142dff?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-7c1d-7000-8000-0233a7142dff?poll=true	-
fh-multihop-scenario-8-read-now-chain	frosthaven	table-qa	scenarios	multi-hop	fast	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2419	1363	pass	5221/62/5283	0	0.0500	0.0055	0.0014	5	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-8ce2-7000-8000-000e1a2f7676?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f471a-8ce2-7000-8000-000e1a2f7676?poll=true	-
gh2-faq-disadvantage-identical-effects	gloomhaven-2e	table-qa	rulebook	rules-synthesis	fast	faq		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		2805	1365	pass	1897/149/2046	0	0.0500	0.0026	0.0016	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471a-a8f9-7000-8000-038d6e74fdd1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471a-a8f9-7000-8000-038d6e74fdd1?poll=true	-
gh2-faq-push-line-of-sight	gloomhaven-2e	table-qa	rulebook	rules-synthesis	fast	faq		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1896	1145	pass	2885/75/2960	0	0.0500	0.0033	0.0013	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471a-bb52-7000-8000-0223ff5c2b39?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471a-bb52-7000-8000-0223ff5c2b39?poll=true	-
gh2-multihop-section-101-2-parent	gloomhaven-2e	table-qa	scenarios	multi-hop	fast	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1760	1281	pass	2729/34/2763	0	0.0500	0.0029	0.0012	4	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471a-ca26-7000-8000-00f86818e18b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471a-ca26-7000-8000-00f86818e18b?poll=true	-
gh2-monster-living-bones-elite-level-1	gloomhaven-2e	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		2179	1177	pass	2806/76/2882	0	0.0500	0.0032	0.0015	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471a-d5e5-7000-8000-0103f7381882?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471a-d5e5-7000-8000-0103f7381882?poll=true	-
gh2-item-004-leather-armor	gloomhaven-2e	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		3010	1921	-	2985/78/3063	0	0.0500	0.0034	0.0017	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471a-e503-7000-8000-03a5e8b7f1e0?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471a-e503-7000-8000-03a5e8b7f1e0?poll=true	-
gh2-monster-ancient-artillery-normal-level-0	gloomhaven-2e	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2868	2225	-	2626/66/2692	0	0.0500	0.0030	0.0013	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471a-f737-7000-8000-003aed211f8c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471a-f737-7000-8000-003aed211f8c?poll=true	-
gh2-personal-quest-02-inn-to-hospitality	gloomhaven-2e	table-qa	personal-quests	exact-lookup	deep	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		6810	6807	-	807/295/8136	6170	0.0500	0.0095	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471b-085b-7000-8000-011bf24faa75?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471b-085b-7000-8000-011bf24faa75?poll=true	-
gh2-faq-rounding-direction	gloomhaven-2e	table-qa	rulebook	rules-synthesis	fast	faq		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		1585	1057	pass	1734/59/1793	0	0.0500	0.0020	0.0010	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471b-2970-7000-8000-03063ab9c9d9?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471b-2970-7000-8000-03063ab9c9d9?poll=true	-
gh2-monster-black-imp-elite-level-5	gloomhaven-2e	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2772	1860	-	2862/72/2934	0	0.0500	0.0032	0.0014	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471b-3561-7000-8000-02019a187438?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471b-3561-7000-8000-02019a187438?poll=true	-
gh2-character-ability-nightshroud-spirit-of-the-night	gloomhaven-2e	table-qa	character-abilities	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2536	1551	-	2769/72/2841	0	0.0500	0.0031	0.0016	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471b-4829-7000-8000-00465218bc3a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471b-4829-7000-8000-00465218bc3a?poll=true	-
gh2-battle-goal-ascetic	gloomhaven-2e	table-qa	battle-goals	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1658	1040	-	2099/46/2145	0	0.0500	0.0023	0.0012	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471b-5a7a-7000-8000-039903038346?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/eb1f9b85-d0fe-48e0-b39e-fcb438a8e5e0/r/019f471b-5a7a-7000-8000-039903038346?poll=true	-
