case	game	suite	category	question_class	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-character-mat-boneshaper	frosthaven	table-qa	character-mats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		5922	5915	-	7/265/15059	5472	0.0500	0.0040	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-a3ae-7000-8000-022ad89a7600?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-a3ae-7000-8000-022ad89a7600?poll=true	-
fh-scenario-3-algox-offensive	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1925	1923	-	3/95/5566	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-c02a-7000-8000-0374b3da1e6c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-c02a-7000-8000-0374b3da1e6c?poll=true	-
monster-vermling-scout	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1616	1616	-	3/80/5542	0	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-cdb9-7000-8000-03b65c18cba5?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-cdb9-7000-8000-03b65c18cba5?poll=true	-
fh-character-ability-banner-spear-at-all-costs	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		5661	5659	-	7/271/14748	5465	0.0500	0.0041	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-daf4-7000-8000-005ed762c35d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-daf4-7000-8000-005ed762c35d?poll=true	-
fh-multihop-scenario-2-read-now-chain	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		5412	5409	fail	6/241/9347	0	0.0500	0.0036	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-f627-7000-8000-029d2e4c6439?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345b-f627-7000-8000-029d2e4c6439?poll=true	-
scenario-61-unlock	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.4	pass		32258	32251	-	18/1350/100084	68566	0.0500	0.0203	9	0	9	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345c-1224-7000-8000-00bbf4a55d6b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345c-1224-7000-8000-00bbf4a55d6b?poll=true	-
fh-monster-algox-archer-elite-level-7	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1795	1793	-	3/100/5561	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345c-9b5b-7000-8000-0256f41afbd4?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345c-9b5b-7000-8000-0256f41afbd4?poll=true	-
fh-monster-abael-scout-normal-level-2	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1750	1750	-	3/80/5540	0	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345c-b73c-7000-8000-019ca575a939?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345c-b73c-7000-8000-019ca575a939?poll=true	-
fh-multihop-scenario-36-conclusion-unlock	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		14235	10842	fail	15/512/32666	18959	0.0500	0.0077	3	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345c-c3cb-7000-8000-039935b01367?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345c-c3cb-7000-8000-039935b01367?poll=true	-
rule-small-items	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		12460	8398	-	7/637/17109	5453	0.0500	0.0096	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-0103-7000-8000-0023d10ab01d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-0103-7000-8000-0023d10ab01d?poll=true	-
fh-item-001-spyglass	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1849	1848	-	3/100/5557	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-38fb-7000-8000-02a9b2ea2ff8?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-38fb-7000-8000-02a9b2ea2ff8?poll=true	-
fh-rule-monster-ability-shuffle	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		14193	9574	fail	7/501/21256	5456	0.0500	0.0075	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-4589-7000-8000-004765ec0e48?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-4589-7000-8000-004765ec0e48?poll=true	-
fh-monster-ability-ancient-artillery-long-shot	frosthaven	table-qa	monster-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		11935	11932	-	11/502/37635	21299	0.0500	0.0075	4	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-83f0-7000-8000-0335c8cd08e7?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-83f0-7000-8000-0335c8cd08e7?poll=true	-
fh-item-010-crude-shield	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1861	1860	-	3/99/5555	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-b8ef-7000-8000-0128d4b8970f?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-b8ef-7000-8000-0128d4b8970f?poll=true	-
fh-item-003-traveling-cloak	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2159	2158	-	3/101/5559	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-c831-7000-8000-023f1f4bd2fd?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-c831-7000-8000-023f1f4bd2fd?poll=true	-
fh-scenario-4b-heart-of-ice-b	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1848	1847	-	3/96/5567	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-da22-7000-8000-030d207eff63?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-da22-7000-8000-030d207eff63?poll=true	-
fh-monster-ability-algox-snowspeaker-trap-solo-blinding-vortex	frosthaven	table-qa	monster-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		9476	6680	-	7/385/18228	5472	0.0500	0.0058	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-e922-7000-8000-013f977ee942?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345d-e922-7000-8000-013f977ee942?poll=true	-
rule-looting-definition	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		28463	16862	-	7/1139/21717	5441	0.0500	0.0171	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345e-14d8-7000-8000-00b327dc954b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345e-14d8-7000-8000-00b327dc954b?poll=true	-
fh-monster-abael-herder-elite-level-5	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2088	2085	-	3/101/5563	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345e-8efa-7000-8000-03f31eecbea8?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345e-8efa-7000-8000-03f31eecbea8?poll=true	-
fh-scenario-1-a-town-in-flames	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2349	2348	-	3/95/5566	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345e-9c6c-7000-8000-03e51c25ab08?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345e-9c6c-7000-8000-03e51c25ab08?poll=true	-
fh-monster-algox-guard-normal-level-0	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1751	1750	-	3/80/5540	0	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345e-b6c4-7000-8000-0125ea4ed527?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345e-b6c4-7000-8000-0125ea4ed527?poll=true	-
fh-rule-elements-wane	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		12631	7600	fail	7/492/18165	5450	0.0500	0.0074	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345e-c278-7000-8000-03c7cdbfd7fa?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345e-c278-7000-8000-03c7cdbfd7fa?poll=true	-
fh-rule-invisible-focus	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		10356	7760	fail	7/411/17311	5451	0.0500	0.0062	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-068f-7000-8000-025d3e718e93?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-068f-7000-8000-025d3e718e93?poll=true	-
fh-item-005-crude-boots	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1849	1846	-	3/100/5557	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-3825-7000-8000-00a0394f4f59?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-3825-7000-8000-00a0394f4f59?poll=true	-
fh-character-ability-astral-boon-of-the-tempest	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		7356	7353	-	7/333/14810	5468	0.0500	0.0050	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-476e-7000-8000-034917c29869?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-476e-7000-8000-034917c29869?poll=true	-
rule-long-rest-init	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8508	5576	-	7/259/21896	5452	0.0500	0.0039	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-7323-7000-8000-02808207c178?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-7323-7000-8000-02808207c178?poll=true	-
fh-monster-algox-guard-elite-level-5	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1806	1805	-	3/99/5559	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-99f9-7000-8000-008188057d61?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-99f9-7000-8000-008188057d61?poll=true	-
fh-item-008-crude-spear	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1848	1846	-	3/101/5559	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-a5c4-7000-8000-00ca631fd027?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-a5c4-7000-8000-00ca631fd027?poll=true	-
rule-long-rest-steps	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		17626	10475	-	7/615/22105	5455	0.0500	0.0092	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-b438-7000-8000-001316359da8?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f345f-b438-7000-8000-001316359da8?poll=true	-
fh-scenario-2-algox-scouting	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1876	1876	-	3/95/5566	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-0290-7000-8000-032d916378a7?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-0290-7000-8000-032d916378a7?poll=true	-
fh-scenario-7-edge-of-the-world	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1849	1848	-	3/95/5566	0	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-10a8-7000-8000-004e0e56e56b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-10a8-7000-8000-004e0e56e56b?poll=true	-
fh-character-mat-astral	frosthaven	table-qa	character-mats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1874	1872	-	3/99/5573	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-1f02-7000-8000-0319c7cfacb3?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-1f02-7000-8000-0319c7cfacb3?poll=true	-
fh-monster-ability-algox-snowspeaker-blinding-vortex	frosthaven	table-qa	monster-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		11074	6245	-	7/359/18181	5469	0.0500	0.0054	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-2e22-7000-8000-03f036e1d217?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/71ea3e37-053c-4a71-b900-55fedc41d9ea/r/019f3460-2e22-7000-8000-03f036e1d217?poll=true	-
