case	game	suite	category	question_class	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-character-mat-boneshaper	frosthaven	table-qa	character-mats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		5887	5883	-	7/302/15096	14787	0.0500	0.0045	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-b7b3-7000-8000-039d733f8568?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-b7b3-7000-8000-039d733f8568?poll=true	-
fh-scenario-3-algox-offensive	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2479	2478	-	3/95/5566	5468	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-d950-7000-8000-036f63efff43?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-d950-7000-8000-036f63efff43?poll=true	-
monster-vermling-scout	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1633	1633	-	3/80/5542	5459	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-ecda-7000-8000-02df15dfe802?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-ecda-7000-8000-02df15dfe802?poll=true	-
fh-character-ability-banner-spear-at-all-costs	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		8317	8312	-	7/251/14708	11572	0.0500	0.0038	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-f7df-7000-8000-02baba9a83f3?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-f7df-7000-8000-02baba9a83f3?poll=true	-
fh-multihop-scenario-2-read-now-chain	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		5184	5180	fail	6/230/9336	9100	0.0500	0.0035	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347f-1cdb-7000-8000-02b8f5dc9b04?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347f-1cdb-7000-8000-02b8f5dc9b04?poll=true	-
scenario-61-unlock	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		13068	13061	-	12/587/24711	16699	0.0500	0.0088	3	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347f-37ed-7000-8000-02f40601627c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347f-37ed-7000-8000-02f40601627c?poll=true	-
fh-monster-algox-archer-elite-level-7	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1800	1798	-	3/100/5561	5458	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347f-7250-7000-8000-008136739ec6?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347f-7250-7000-8000-008136739ec6?poll=true	-
fh-monster-abael-scout-normal-level-2	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1944	1943	-	3/80/5540	5457	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347f-7ef4-7000-8000-038fb78ae8f7?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347f-7ef4-7000-8000-038fb78ae8f7?poll=true	-
fh-multihop-scenario-36-conclusion-unlock	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		12379	9389	fail	15/507/32673	24420	0.0500	0.0076	3	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347f-9a84-7000-8000-00ca9043120b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347f-9a84-7000-8000-00ca9043120b?poll=true	-
rule-small-items	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		14254	9230	-	7/679/17151	16465	0.0500	0.0102	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347f-d17c-7000-8000-0131fc0c5000?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347f-d17c-7000-8000-0131fc0c5000?poll=true	-
fh-item-001-spyglass	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1895	1894	-	3/100/5557	5454	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-116f-7000-8000-035d1bd89ddc?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-116f-7000-8000-035d1bd89ddc?poll=true	-
fh-rule-monster-ability-shuffle	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		12443	7522	fail	7/478/21233	20748	0.0500	0.0072	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-1e52-7000-8000-02225e406bb5?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-1e52-7000-8000-02225e406bb5?poll=true	-
fh-monster-ability-ancient-artillery-long-shot	frosthaven	table-qa	monster-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		10780	10775	-	11/493/37605	28878	0.0500	0.0074	4	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-552e-7000-8000-03655385ccd9?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-552e-7000-8000-03655385ccd9?poll=true	-
fh-item-010-crude-shield	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2738	2737	-	3/99/5555	5453	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-84ba-7000-8000-0359b4a163eb?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-84ba-7000-8000-0359b4a163eb?poll=true	-
fh-item-003-traveling-cloak	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2095	2093	-	3/101/5559	5455	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-978b-7000-8000-0245afa67abc?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-978b-7000-8000-0245afa67abc?poll=true	-
fh-scenario-4b-heart-of-ice-b	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1846	1845	-	3/96/5567	5468	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-a5fc-7000-8000-00539a503a43?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-a5fc-7000-8000-00539a503a43?poll=true	-
fh-monster-ability-algox-snowspeaker-trap-solo-blinding-vortex	frosthaven	table-qa	monster-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8594	5867	-	7/335/18178	17836	0.0500	0.0050	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-bf08-7000-8000-018c5d41180a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-bf08-7000-8000-018c5d41180a?poll=true	-
rule-looting-definition	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		27619	15995	-	7/1115/21693	20571	0.0500	0.0167	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-e816-7000-8000-00717ef77a6a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3480-e816-7000-8000-00717ef77a6a?poll=true	-
fh-monster-abael-herder-elite-level-5	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1745	1744	-	3/82/5544	5459	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3481-6138-7000-8000-00c6dae0fd11?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3481-6138-7000-8000-00c6dae0fd11?poll=true	-
fh-scenario-1-a-town-in-flames	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1785	1784	-	3/95/5566	5468	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3481-6e22-7000-8000-009a76fbd459?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3481-6e22-7000-8000-009a76fbd459?poll=true	-
fh-monster-algox-guard-normal-level-0	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1881	1880	-	3/80/5540	5457	0.0500	0.0012	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3481-7c85-7000-8000-0292800809ad?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3481-7c85-7000-8000-0292800809ad?poll=true	-
fh-rule-elements-wane	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		13534	8243	fail	7/503/18176	17666	0.0500	0.0075	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3481-88eb-7000-8000-01e2e599d49c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3481-88eb-7000-8000-01e2e599d49c?poll=true	-
fh-rule-invisible-focus	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		10156	6558	fail	7/380/17280	16893	0.0500	0.0057	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3481-c61b-7000-8000-02101c6390ad?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3481-c61b-7000-8000-02101c6390ad?poll=true	-
fh-item-005-crude-boots	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2099	2097	-	3/100/5557	5454	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3481-f634-7000-8000-027936e0ccd1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3481-f634-7000-8000-027936e0ccd1?poll=true	-
fh-character-ability-astral-boon-of-the-tempest	frosthaven	table-qa	character-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		6481	6480	-	7/302/14779	10936	0.0500	0.0045	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-034b-7000-8000-00a24047101f?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-034b-7000-8000-00a24047101f?poll=true	-
rule-long-rest-init	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		10058	6723	-	7/297/21934	21630	0.0500	0.0045	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-23d3-7000-8000-03cb5bb54a1c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-23d3-7000-8000-03cb5bb54a1c?poll=true	-
fh-monster-algox-guard-elite-level-5	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1785	1783	-	3/99/5559	5457	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-5077-7000-8000-015a0a760fbd?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-5077-7000-8000-015a0a760fbd?poll=true	-
fh-item-008-crude-spear	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1853	1852	-	3/101/5559	5455	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-5bc0-7000-8000-0243aec03fa9?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-5bc0-7000-8000-0243aec03fa9?poll=true	-
rule-long-rest-steps	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		17123	10272	-	7/620/22110	21483	0.0500	0.0093	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-698d-7000-8000-019b4f96d9de?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-698d-7000-8000-019b4f96d9de?poll=true	-
fh-scenario-2-algox-scouting	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2112	2111	-	3/95/5566	5468	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-b4a5-7000-8000-014192dd84c0?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-b4a5-7000-8000-014192dd84c0?poll=true	-
fh-scenario-7-edge-of-the-world	frosthaven	table-qa	scenarios	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1902	1901	-	3/95/5566	5468	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-c44a-7000-8000-003ccc59c482?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-c44a-7000-8000-003ccc59c482?poll=true	-
fh-character-mat-astral	frosthaven	table-qa	character-mats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1774	1773	-	3/99/5573	5471	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-d2c8-7000-8000-009648b52d5b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-d2c8-7000-8000-009648b52d5b?poll=true	-
fh-monster-ability-algox-snowspeaker-blinding-vortex	frosthaven	table-qa	monster-abilities	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		9282	5985	-	7/366/18188	17815	0.0500	0.0055	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-dfba-7000-8000-01eb92eb98e4?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f3482-dfba-7000-8000-01eb92eb98e4?poll=true	-
